Id,Label,timeset,isseed,seedrank,publishedat,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,indegree,outdegree,Degree,modularity_class
2-g2wC3-tak,Sadhguru Speaks About Greta Thunberg & Climate Activism,,yes,58,1571151010,Sadhguru,UCcYzLCs3zrQIBVHYA1sK2sw,Howto & Style,305885,12690,432,0.034043,0,876,7,7,14,1
DMbu9w4pDXE,Greta Thunberg Blasts World Leaders’ Inaction On Climate Change | NBC News,,yes,101,1575423041,NBC News,UCeY0bbntWzzVIaj2z3QigXg,News & Politics,45786,468,973,2.07906,0,1217,7,25,32,0
Hm19Ti0Um4c,Switzerland: Thunberg joins climate protest in Lausanne ahead of Davos summit,,yes,103,1579274086,Ruptly,UC5aeU5hk31cLzq_sAExLVWg,News & Politics,2309,,,,0,60,7,17,24,0
YgxzjLIBx8M,Climate activist Greta Thunberg lands in Lisbon ahead of COP25 climate summit,,yes,113,1575384231,Global News,UChLtXXpo4Ge1ReTEboVvTDg,News & Politics,10476,147,211,1.435374,0,388,7,22,29,0
iTvGwjcBCL8,Greta Thunberg:  We want politicians to listen to the scientists,,yes,134,1550745106,EURACTIV,UCDCgvwyjJqZWYs6j0D2FF6g,News & Politics,28652,434,54,0.124424,0,163,7,36,43,4
TFT0IoP2dTA,Greta Thunberg joins London climate protest: ‘We will never stop fighting’,,yes,151,1555893975,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,58205,554,223,0.402527,0,531,7,24,31,4
wcorTk1ejew,Greta Thunberg à Lausanne pour une marche sur le climat,,yes,6,1579272754,euronews (en français),UCW2QcKZiU8aUGg4yxCIditg,News & Politics,3195,47,27,0.574468,0,14,6,20,26,0
ZhShDuWRCmQ,Climate activists like Greta Thunberg just want to  upend society,,yes,114,1578994402,Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,News & Politics,22762,919,54,0.05876,0,938,6,22,28,0
B3jTuRKZ7F8,Climate Scientist reacts to Greta Thunberg s speeches | #COP25,,yes,194,1576087508,ClimateAdam,UCCu5wtZ5uOWZp_roz7wHPfg,Science & Technology,9241,298,99,0.332215,0,233,6,31,37,0
h3SmqCcNbU8,Greta Thunberg blasts world leaders:  We will never forgive you,,yes,14,1569259884,CBC News,UCuFFtHWoLl5fauMMD5Ww2jA,News & Politics,140062,2669,2825,1.058449,0,,5,35,40,2
ULWX9bmO_dE,Greta Thunberg à une marche pour le climat en Suisse | AFP Images,,yes,42,1579259823,AFP,UCckz6n8QccTd6K_xdwKqa0A,News & Politics,354,8,2,0.25,0,1,5,22,27,0
57RQcPOFIio,Why fans are calling the 13th Doctor the  Space Greta Thunberg  - BBC,,yes,44,1578916804,BBC,UCCj956IF62FbT7Gouszaj9w,Entertainment,39461,564,782,1.386525,0,609,5,33,38,0
bWvFcR7UtAI,Fatboy Slim Remixes Greta Thunberg Speech | NowThis,,yes,91,1570737602,NowThis News,UCn4sPeUomNGIr26bElVdDYg,News & Politics,327558,6817,325,0.047675,0,637,5,15,20,1
U77UzIIvtHU,Greta Thunberg  Thousands More March in NYC Climate Strike | NBC New York,,yes,117,1569016977,NBC New York,UCxCfoSInadl-4i3F70zDt1A,News & Politics,42745,577,154,0.266898,0,486,5,32,37,3
_pQiCew4P34,Greta Thunberg addresses world leaders at the United Nations,,yes,153,1569284713,CNA,UC83jt4dlz1Gjl58fzQrrKZg,News & Politics,97788,1761,2586,1.468484,0,3642,5,32,37,1
zdYuL0gHJiU,Greta Thunberg speaks ahead of climate strike in Montreal | Live,,yes,175,1569596530,euronews (in English),UCSrZ3UV4jOidv8ppoVuvW9Q,News & Politics,6503,132,113,0.856061,0,302,5,33,38,1
Bk-cctuZz0M,Fans Are Convinced Greta Thunberg Is A Time Traveler For This Reason,,yes,184,1574360811,Access,UCiKGMZZmZXK-RpbKJGXgH3Q,Entertainment,81539,766,194,0.253264,0,491,5,29,34,1
sn7WHwlsOXU,Greta Thunberg addresses EU lawmakers - watch live,,yes,191,1555427665,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,12963,244,46,0.188525,0,54,5,26,31,4
010z950X6mI,Greta Thunberg attends climate demo in Lausanne | AFP,,yes,22,1579289591,AFP News Agency,UC86dbj-lbDks_hZ5gRKL49Q,News & Politics,589,12,13,1.083333,0,6,4,39,43,0
s_WTAa6lV9c,Greta Thunberg joins Lausanne climate march ahead of Davos,,yes,40,1579287309,The Straits Times,UC4p_I9eiRewn2KoU-nawrDg,News & Politics,647,12,11,0.916667,0,9,4,29,33,0
#NAME?,You have woken up the world  David Attenborough tells Greta Thunberg during chat on climate,,yes,55,1577716202,Global News,UChLtXXpo4Ge1ReTEboVvTDg,News & Politics,25651,443,509,1.148984,0,544,4,35,39,0
DDt92x4bIZ4,Greta Thunberg sailing back to Europe,,yes,169,1573674921,CBS News,UC8p1vwvWtl6T73JiExfWs1g,News & Politics,74486,437,2334,5.340961,0,2260,4,30,34,1
